"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_1110_length_6228_cov_43.0884",1.448317,2.81144,6.571722,9.612963,7.140561,5.465896,6.002819,FALSE,"noCluster"
"NODE_1111_length_6220_cov_31.8944",4.796912,4.127304,3.427022,2.46784,1.974436,4.596351,6.750031,FALSE,"noCluster"
"NODE_1112_length_6211_cov_101.737",15.481936,7.777094,6.048206,5.854506,6.300796,15.310254,30.783353,FALSE,"noCluster"
"NODE_1113_length_6204_cov_126.86",26.988175,26.790914,22.511024,17.146086,13.272493,7.725261,5.094617,FALSE,"noCluster"
"NODE_1114_length_6183_cov_29.4789",1.026209,4.896803,5.440898,2.423521,4.051033,3.678583,2.695037,FALSE,"noCluster"
"NODE_1115_length_6180_cov_48.8655",1.347571,2.125408,4.276186,5.265973,11.743495,10.74239,5.899679,FALSE,"noCluster"
"NODE_1116_length_6176_cov_130.789",29.471006,29.321179,26.128436,17.505335,6.304606,3.171393,2.860063,FALSE,"noCluster"
"NODE_1117_length_6168_cov_83.0805",0.482237,0.252671,0.486304,6.871357,29.300182,25.614222,10.460915,FALSE,"noCluster"
"NODE_1118_length_6168_cov_35.0476",7.201406,7.592167,7.662573,4.441788,1.653095,0.978143,0.767301,FALSE,"noCluster"
"NODE_1119_length_6166_cov_64.9503",16.047762,12.818319,8.309365,3.563559,2.773437,5.039784,9.729591,FALSE,"noCluster"
"NODE_1120_length_6165_cov_43.6743",7.510575,6.00695,6.338262,7.732474,5.665005,3.15039,3.751923,FALSE,"noCluster"
"NODE_1121_length_6164_cov_54.3673",10.471959,9.355067,8.544235,5.495698,5.139239,5.302818,4.277157,FALSE,"noCluster"
"NODE_1122_length_6163_cov_45.3091",1.544444,2.637196,1.775831,0.537039,0.468984,11.586568,17.355278,FALSE,"noCluster"
"NODE_1123_length_6155_cov_78.1415",9.417438,9.935853,10.300402,9.440587,6.483213,8.257413,13.913386,FALSE,"noCluster"
"NODE_1124_length_6151_cov_44.6804",7.508314,5.709362,5.192906,6.681222,4.363329,5.618309,4.066786,FALSE,"noCluster"
"NODE_1125_length_6149_cov_30.5461",2.103705,2.21662,5.027129,7.450294,4.971251,2.863111,3.221089,FALSE,"noCluster"
"NODE_1126_length_6147_cov_129.089",0.967864,0.700304,2.176264,6.513527,35.264527,38.102852,27.65025,FALSE,"noCluster"
