Gene	X11941_counts	X11942_counts	X11943_counts	X11944_counts
PVX_090265	434.9086819	511.4293605	1486.393217	826.236776
PVX_090270	441.9233381	356.6409242	488.7429893	510.3394855
PVX_090275	473.4892908	788.584331	770.0822739	1465.444109
PVX_090280	3153.087944	4838.184503	2681.845126	911.7685334
PVX_090285	45.59526504	52.29339065	189.1598603	71.27646446
PVX_090290	7.01465616	2.091735626	11.52242804	4.561693726
PVX_090295	254.2812858	272.9714992	34.56728412	16.53613976
PVX_088185	968.0225501	500.9706824	982.2869903	746.9773476
PVX_090300	1511.658402	1182.876496	1920.404673	405.4205299
PVX_090305	2384.983094	2077.093477	1919.444471	473.8459357
PVX_090310	3.50732808	0	7.681618692	2.280846863
PVX_090315	345.4718159	294.9347232	391.7625533	63.86371216
PVX_090320	96.4515222	190.347942	134.4283271	49.60841927
PVX_090325	129.771139	818.9144975	635.6539468	282.2547993
PVX_090330	71.90022564	336.7694358	1077.347022	277.1228938
PVX_090335	1625.646565	1281.188071	1171.446851	830.2282581
PVX_001610	154.3224355	161.0636432	140.1895411	68.9956176
PVX_001615	75.40755372	184.0727351	24.00505841	9.123387451
PVX_088190	715.4949283	518.7504352	630.8529351	1248.193446
PVX_001620	133.278467	84.71529285	15.36323738	10.8340226
PVX_001625	787.395154	705.9607737	773.9230833	634.6456396
PVX_001630	455.9526504	528.1632455	331.2698061	344.4078763
PVX_001635	31.56595272	40.7888447	16.32343972	2.851058578
PVX_001640	536.6211962	303.3016658	374.4789113	279.4037407
PVX_001645	121.0028188	115.0454594	213.1649187	65.57434731
PVX_001650	3523.111056	2452.560021	3426.962139	1658.745881
PVX_001655	1420.467872	2363.661257	2542.615787	775.4879333
PVX_001660	99.95885028	144.3297582	138.2691365	71.84667618
PVX_001665	261.295942	155.8343041	279.4188799	205.2762177
PVX_088195	1499.382754	1169.280215	1065.824594	1189.461639
PVX_001670	11870.55189	10658.43888	20101.83592	15977.33227
PVX_001675	731.2779047	669.3554003	1255.944656	652.8924145
PVX_001680	462.9673066	404.7508436	535.7929038	253.1740018
PVX_001685	8738.507911	4892.569629	11429.28841	4411.157833
PVX_001690	336.7034957	429.8516711	437.8522655	178.476267
PVX_001695	340.2108238	337.8153036	4358.358406	1493.384483
PVX_001700	1992.162349	1213.206663	1616.980735	1927.885811
PVX_001705	771.6121776	1031.225664	217.9659304	149.9656812
PVX_001710	124.5101468	107.7243847	320.7075804	342.6972411
PVX_001715	1504.643746	1603.315357	31.68667711	37.63397324
PVX_087715	206.9323567	337.8153036	187.2394556	254.3144252
PVX_088200	3919.439129	2607.348458	3499.937517	4327.906922
PVX_001720	5253.977464	5218.880387	3480.73347	2820.837358
PVX_001725	2404.273399	2366.798861	5037.221458	9582.407882
PVX_001730	966.268886	1255.041376	1458.547349	1182.619098
PVX_001735	2670.830333	1973.552563	2388.023211	3708.086787
PVX_001740	2970.706884	1458.985599	4076.058919	2656.046172
PVX_001745	1858.883882	1707.902139	1626.582758	768.6453928
PVX_001750	427.8940258	442.4020849	588.6040323	1386.754893
PVX_001752	5169.80159	4676.074992	6439.116869	4342.162215
PVX_001755	1111.823001	688.1810209	1071.585808	2810.003335
PVX_001760	2504.232249	1937.993057	4450.53783	7346.037533
PVX_088205	5199.613879	5447.925438	12353.96326	25246.69392
PVX_001765	219.208005	165.2471144	316.8667711	447.6161968
PVX_001770	594.4921096	406.8425792	855.5402819	802.287884
PVX_001775	10132.67082	9459.874368	10041.79604	16374.76984
PVX_001780	8987.528205	5576.567179	8396.969433	16253.31474
PVX_001782	31.56595272	26.14669532	54.73153318	47.3275724
PVX_001783	9320.724373	7116.084599	6596.590052	3866.035432
PVX_001785	9026.108814	5363.210145	3166.747306	2450.199742
PVX_001790	2185.065394	1581.352133	1749.488657	1833.230666
PVX_001795	1525.687715	2108.469511	1255.944656	2514.063455
